Αφρική	Afrika
Ημερολόγια Μοτοσικλέτας	Diarios de motocicleta
Renault Clio	Renault Clio
Άβαρις Αιγύπτου	Avaris
Testament	Testament (band)
Κύπελλο Πρωταθλητριών Ομάδων Ευρώπης 1958-59	Europacup I 1958/59
Κύπελλο Πρωταθλητριών Ομάδων Ευρώπης 1957-58	Europacup I 1957/58
Πίροτ	Pirot (stad)
Χαν Γιουνίς	Khan Younis
Κίκιντα	Kikinda
Beyblade	Beyblade
Μουσείο Φυσικής Ιστορίας Λονδίνου	Natural History Museum
Εκρανοπλάνο	Ekranoplan
ΟΣ Μπουλόν	US Boulogne
Τάφοι των Βασιλιάδων της Μπουγκάντα στο Κασούμπι	Tombes van Kasubi
Αΐτ-Μπεν-Χαντού	Aït-Ben-Haddou
ΦΚ Λοζάν-Σπορ	FC Lausanne-Sport
Homat el Diyar	Homat el Diyar
Αλ Ιτιχάντ	Ittihad FC
Νεκρολογία	Necrologie
Πτεροδάκτυλος	Pterodactylus
Γουίλ Ράιτ	Will Wright
Μάζι Όκα	Masi Oka
Τα απόρρητα της Νυρεμβέργης	Judgment at Nuremberg
Σκόπας	Skopas van Paros
Φερδινάνδος Γ΄, Μέγας Δούκας της Τοσκάνης	Ferdinand III van Toscane
Κιγκινάτος	Lucius Quinctius Cincinnatus
Τσαρλς Άιβς	Charles Ives
Αλφρέ ντε Βινύ	Alfred de Vigny
Τόμας Αρν	Thomas Arne
Δημήτριος Β΄ Νικάτωρ	Demetrius II Nicator
Μάρσιο Αμορόζο	Márcio Amoroso
Βιτσέντζο Σκαμότσι	Vincenzo Scamozzi
Αθηναγόρας ο Αθηναίος	Athenagoras van Athene
Μπλέικ Γκρίφιν	Blake Griffin
Άτταλος Γ΄ της Περγάμου	Attalus III van Pergamon
Νικολά Μαλμπράνς	Nicolas Malebranche
Μαράτ Ιζμάιλοφ	Marat Izmailov
Ιγκόρ Σμιρνόφ	Igor Smirnov (president)
Γουίλ Άισνερ	Will Eisner
Γιαν Όορτ	Jan Hendrik Oort
Βαλεντίνος	Valentinus (gnostiek)
Γουίλιαμ Μπουθ	William Booth
Ζαν Λουί Μπαρό	Jean-Louis Barrault
Τόμας Μάλορυ	Thomas Malory
Lemmy	Lemmy Kilmister
Γουίλσον Κίπκετερ	Wilson Kipketer
Ζαν Ζιρωντού	Jean Giraudoux
Φρανσουά Φενελόν	François Fénelon
Χάραλντ Μπορ	Harald Bohr
Λίνφορντ Κρίστι	Linford Christie
Ισίδωρος ο Μιλήσιος	Isidorus van Milete
Τεΐας	Teia (Gotische koning)
Τόνι Χίμπερτ	Tony Hibbert
Ντον Ντελίλο	Don DeLillo
Άλαν Μπολ	Alan Ball jr.
Τζων Μπάλλιολ	John Balliol
Ματσέι Ζουράφσκι	Maciej Żurawski
Μαρκ Χένρι	Mark Henry
Ντέιβιντ Μπράιαν	David Bryan
Τζον Ντένσμορ	John Densmore
Μίνια	Minya
Πατριάρχης Βελιγραδίου Παύλος	Pavle van Belgrado
Νίκολας Λίβερπουλ	Nicholas Liverpool
Νεμπόισα Ραντμάνοβιτς	Nebojša Radmanović
Σαλμανασέρ Α΄	Salmanasser I
Κάρολος Α΄ της Ορλεάνης	Karel van Orléans
Κλεάνθης	Cleanthes
Λυσίας	Lysias
Αμμώνιος Σακκάς	Ammonius Saccas
Λάζαρος Χρεμπελιάνοβιτς	Lazar Hrebeljanović
Φερνάντο Μέιρα	Fernando Meira
Βαράμης Α΄ της Περσίας	Bahram I
Ουίλλιαμ Χένρι Πίκερινγκ	William Henry Pickering
Περόζης Α΄ της Περσίας	Peroz
Μάικλ Κάνινγκαμ	Michael Cunningham
Σαπώρης Γ΄ της Περσίας	Sjapoer III
Μεντουχοτέπ Γ΄	Mentoehotep III
Ορμίσδας Α΄ της Περσίας	Hormazd I
Ισδιγέρδης Β΄ της Περσίας	Yazdagird II
Αρδασίρ Β΄ της Περσίας	Ardashir II
Βλαντιμίρ Τάτλιν	Vladimir Tatlin
Αντώνιος της Ναβάρρας	Anton van Bourbon
Καρλ Πέρκινς	Carl Perkins
Αντόνιο Νέγκρι	Antonio Negri
Coolio	Coolio
Τζέραλντ Ντάρελ	Gerald Durrell
Καρβοξυτελικό άκρο	C-terminus
Λουδοβίκος ο Τυφλός	Lodewijk de Blinde
Αλεξάντρ Καμπανέλ	Alexandre Cabanel
Καρλομάν ο μαγιορδόμος	Carloman (hofmeier)
Σάιγκο Τακαμόρι	Takamori Saigo
Έρσκιν Κάλντγουελ	Erskine Caldwell
Osram	Osram (lampen)
Πλαγιόνοτος ο ανθικός	Plagionotus floralis
Ex vivo	Ex vivo
Cum hoc ergo propter hoc	Cum hoc ergo propter hoc
Σκοτ Σέπαρντ	Scott S. Sheppard
Ενθεογόνο	Entheogeen
Volvox	Volvox (groenalg)
Φραγκίσκος Α΄ Σφόρτσα	Francesco Sforza
Λειτουργία σε σι ελάσσονα (Μπαχ)	Hohe Messe
Αντόν Σούνιν	Anton Sjoenin
Κουέτ Μαζίρε	Quett Masire
Γαμαλιήλ	Gamaliël
ΣΚ Φορτούνα Κολωνίας	SC Fortuna Köln
Εΐτζι Καβασίμα	Eiji Kawashima
Παρίσι, σ' Αγαπώ	Paris, je t'aime
ΣΒ Βέχεν Βισμπάντεν	SV Wehen Wiesbaden
Ιβάν Βάζοφ	Ivan Vazov
Άγιος Δημήτριος	Demetrius van Thessaloniki
Ροδρίγο Παλάσιο	Rodrigo Palacio
Αλεξάντερ Σκάρσγκαρντ	Alexander Skarsgård
Σαλμανασέρ Ε΄	Salmanasser V
Μάρτσιν Βασιλέφσκι	Marcin Wasilewski (voetballer)
Προσφυγή στην αυθεντία	Beroep op autoriteit
Κυριάκος Παπαδόπουλος	Kyriakos Papadopoulos
Ντίνο Μέρλιν	Dino Merlin
Βακχυλίδης	Bacchylides
Ντολφ Ζίγκλερ	Nicholas Nemeth
Διονύσιος ο Αρεοπαγίτης	Dionysius de Areopagiet
Αρ Τρουθ	Ron Killings
Ντον Έρεϊ	Don Airey
Μιχάλης Σηφάκης	Michalis Sifakis
Γερμανικό πρωτάθλημα ποδοσφαίρου ανδρών 2012-2013	Bundesliga 2012/13
Ηφαιστίωνας	Hephaestion
Γκλεν Χιουζ	Glenn Hughes
Αλ Κουσαΐρ	El Quseir
Γκίζερ Μπάτλερ	Geezer Butler
Ρενέ Αντουάν Φερσώ ντε Ρεωμύρ	René-Antoine Ferchault de Réaumur
Μιχαήλ Α΄ της Πορτογαλίας	Michaël I van Portugal
Τζον Ριντ	John Reed
Σέλευκος Ε΄ Φιλομήτωρ	Seleucus V Philometor
Αντίοχος Ι΄ Ευσεβής	Antiochus X Eusebes
Κλεομένης Γ΄ της Σπάρτης	Cleomenes III van Sparta
Λουτσιάνο Σπαλέτι	Luciano Spalletti
Φερνάντο ντα Πιεντάντε Ντίας ντος Σάντος	Fernando da Piedade Dias dos Santos
Λουδοβίκος Β΄ του Κοντέ	Lodewijk II van Bourbon-Condé
Αιγωλιός	Aegolius
Κιμ Ιόνγκ Ιλ	Kim Yong-il
Μελόκακτος	Melocactus
Ιντέφ Α΄	Antef I
Αντρέ Κολινγκμπά	André Kolingba
Τσόε Γιονγκ-ριμ	Choe Yong-rim
Νίκο Πιροσμάνι	Niko Pirosmani
Ρόμπερτ Φισκ	Robert Fisk
Νιλ Ντεγκράς Τάισον	Neil deGrasse Tyson
Ιάμβλιχος	Iamblichus (filosoof)
Αντόνιο Πιγκαφέττα	Antonio Pigafetta
Κυνόγναθος	Cynognathus
Μίκαελ Κίσκε	Michael Kiske
Νικολόζ Γκιλαούρι	Nika Gilaoeri
Κλίφορντ Γκερτζ	Clifford Geertz
Μπραντ Μπερντ	Brad Bird
Λορέντσο Λόττο	Lorenzo Lotto
Φραάτης Γ΄ της Παρθίας	Phraates III Theos
Συμμετοχική δημοκρατία	Participatiedemocratie
Ταινία (παράσιτο)	Taenia (geslacht)
Μάγκνους ο Καλός	Magnus I van Noorwegen
Ραμόν ντελ Βάγιε-Ινκλάν	Ramón María del Valle-Inclán
Αλαίν Μπαντιού	Alain Badiou
Χάραλντ Β΄ της Δανίας	Harald II van Denemarken
Πιερ Μεσαίν	Pierre Méchain
Dimebag Darrell	Dimebag Darrell
Ντέιβιντ Κρόκετ	Davy Crockett
Πιζανέλλο	Pisanello
Ας Σουγουαΰντα	As-Suwayda
Αντίοχος ΙΒ΄ Διόνυσος	Antiochus XII Dionysus
Σεμπαστιάν Φρέι	Sébastien Frey
Τζον Μπλόου	John Blow
Αντίοχος Η΄ Γρυπός	Antiochus VIII Grypos
Ανρί Βικτόρ Ρενιώ	Henri Victor Regnault
Αχμέτ Αμπντάλα Σαμπί	Ahmed Abdallah Sambi
Ζουακίμ Μαρία Μασάντου ντε Ασσίς	Joaquim Maria Machado de Assis
Φλάβιος Ορέστης	Flavius Orestes
Λορίκ Τσάνα	Lorik Cana
Τζέσε Βεντούρα	Jesse Ventura
Ναμπίλ Ελ Ζαρ	Nabil El Zhar
Ερτουγρούλ Οσμάν	Ertuğrul Osman
Αλεξάντερ Σίντιγκ	Alexander Siddig
Φρανθίσκο Αγιάλα	Francisco Ayala
Miyavi	Miyavi
Φραντσέσκο Ρέντι	Francesco Redi
Γιοσίκι Χαγιάσι	Yoshiki Hayashi
Γεώργιος Παπανδρέου	Giorgos Papandreou (1888-1968)
Γλυκοζυλιωμένη αιμοσφαιρίνη	HbA1c
Τζον Αλοΐζι	John Aloisi
Χοακίν Αλμούνια	Joaquín Almunia
Οδοιπόρος επάνω από τη θάλασσα της ομίχλης	Der Wanderer über dem Nebelmeer
Χάρλαν Έλλισον	Harlan Ellison
Ναΐμ Σουλεϊμάνογλου	Naim Süleymanoğlu
Μπόμπι Ντάριν	Bobby Darin
Αλ Ραγιάν ΣΚ	Al-Rayyan
Βαλέριος Ουάλης	Valerius Valens
Κόλιν Τζάκσον	Colin Jackson
Βασίλι Μπερεζούτσκι	Vasili Berezoetski
Τεόφιλο Κουμπίγιας	Teófilo Cubillas
Τούπακ Ίνκα Γιουπάνκι	Túpac Inca Yupanqui
Λουίς Καμπράλ	Luis Cabral
Μαλίκ Σαχ Α΄	Malik Sjah I
Φερεκύδης	Pherecydes van Syros
Ικτίνος	Ictinus
Τέρβελ	Tervel
Αμέρικο	Américo
Άλφρεντ Λούις Κρέμπερ	Alfred L. Kroeber
Γραμμές Fraunhofer	Fraunhoferlijnen
Τζόσουα Κένεντι	Joshua Kennedy
Αντάντ Νιραρί Β΄	Adad-nirari II
Φιλίπ Πινέλ	Philippe Pinel
Τζακ Κίρμπι	Jack Kirby
Φραντσέσκο Τζεμινιάνι	Francesco Geminiani
Orrorin	Praeanthropus tugenensis
Χάουαρντ Στώντον	Howard Staunton
Λουδοβίκος Φίλιππος Β΄ της Ορλεάνης	Philippe Égalité,
Κρίσπος	Flavius Iulius Crispus
Μουβατάλις Β΄	Muwatalli II
Ρότζερ Ντάλτρι	Roger Daltrey
Τζεφ Κίνι	Jeff Kinney
Λεονίντας ντα Σίλβα	Leônidas da Silva
Βρασίδας	Brasidas (persoon)
Πεν Μπάντζλι	Penn Badgley
Ιμπραήμ Πασάς	Ibrahim Pasja
Μπεν Φόστερ	Ben Foster (acteur)
Αμαλρίκ Α΄ της Ιερουσαλήμ	Amalrik I van Jeruzalem
Τζοβάνι Μπορέλι	Giovanni Borelli
Γουλιέλμος της Τύρου	Willem van Tyrus
Πιττακός	Pittakos van Mytilene
Ανεξάρτητα Βραβεία Spirit	Independent Spirit Award
Πέτρος ο Ερημίτης	Peter de Kluizenaar
Κάρολος Γ΄ της Νάπολης	Karel II van Hongarije
Ηρώδης ο Αττικός	Herodes Atticus
Νίκολα Σπίριτς	Nikola Špirić
Ρόμπι Κρίγκερ	Robby Krieger
Μάρκους Μπεργκ	Marcus Berg
Ορλάντο Γκίμπονς	Orlando Gibbons
Ουντάι Χουσεΐν	Oedai Hoessein
Μάθιου Μπουθ	Matthew Booth
Αντίπαπας Ευλάλιος	Tegenpaus Eulalius
Φρανσουά Κλερ	François Clerc
Ιλαρίων Αλφέγιεφ	Hilarion Alfejev
Ντανιέλ Αρανθούμπια	Daniel Aranzubia
Ντρου Μάκινταϊρ	Drew McIntyre
Αλεκσάντερ Βόλσταν	Aleksander Wolszczan
Κρις Μακάντλες	Chris McCandless
Πολυπέρχων	Polyperchon
Κωνσταντίνος Μητσοτάκης	Konstantinos Mitsotakis
Αλέξης Τσίπρας	Alexis Tsipras
Λουί ντε λα Μπουρντοναί	Louis de la Bourdonnais
STS-116	STS-116
Αχαιμένης της Περσίας	Achaemenes
Ζακ Μορίς Κουβ ντε Μιρβίλ	Maurice Couve de Murville
Γιάννης Φετφατζίδης	Ioannis Fetfatzidis
STS-121	STS-121
Φρανθίσκο Λάργο Καμπαγιέρο	Francisco Largo Caballero
Τζιοβάννι Λαγιόλο	Giovanni Lajolo
Άμασις Β' της Αιγύπτου	Amasis
Αλέξανδρος Παπάγος	Alexandros Papagos
Γιάννης Μανιάτης (ποδοσφαιριστής)	Ioannis Maniatis
Ρικ Γουέικμαν	Rick Wakeman
Έρικ Γκούναρ Ασπλούντ	Gunnar Asplund
Γουόρνερ Μπάξτερ	Warner Baxter
Τόμας Λόρενς	Thomas Lawrence
Αντρντζέι Σαπκόβσκι	Andrzej Sapkowski
Κέβιν ΜακΚίντ	Kevin McKidd
Ριχάρδος της Υόρκης	Richard van York
Μαμαντού Σακό	Mamadou Sakho (voetballer)
Ερπηστής	Herpestes
Μετακρεσόλη	Metacresol
Ανισόλη	Anisol
Μεχμέτ Αλί Ταλάτ	Mehmet Ali Talat
Στέβια	Stevia (geslacht)
Κύπελλο Κυπελλούχων Ασίας	Aziatische beker voor bekerwinnaars
Παρακρεσόλη	Paracresol
Ντον Βαν Βλιτ	Captain Beefheart
Ράντι Ρόουντς	Randy Rhoads
Τζορτζ Χέιλ	George Hale
Σβεν Νίκβιστ	Sven Nykvist
Τομ Αράγια	Tom Araya
Εξακαρχαρίας	Stompsnuitzeskieuwshaai
Φραγκίσκος Α΄ των Δύο Σικελιών	Frans I der Beide Siciliën
Μάρκος Κλαύδιος Μάρκελλος	Marcus Claudius Marcellus I
Κατάλογος πόλεων του Καζακστάν	Lijst van steden in Kazachstan
Μπρούνο (ο Άγιος)	Bruno van Keulen
Φερδινάνδος Α΄ των Δύο Σικελιών	Ferdinand I der Beide Siciliën
Αγαθοκλής (τύραννος)	Agathocles van Syracuse
Νομπούο Ουεμάτσου	Nobuo Uematsu
Ιωάννης Σκυλίτζης	Johannes Skylitzes
Αλεσσάντρο Καλιόστρο	Alessandro Cagliostro
Ντέιβ Λομπάρντο	Dave Lombardo
Μπαρτολομέο Αμμαννάτι	Bartolomeo Ammanati
Βονιφάτιος ο Μομφερρατικός	Bonifatius I van Monferrato
Σίλας	Silas
Γιώργος Τζαβέλλας (ποδοσφαιριστής)	Giorgos Tzavelas
Φραγκίσκος ντε Βιτόρια	Francisco de Vitoria
Γιέρζι Κουκούτσκα	Jerzy Kukuczka
Κλέφος	Cleph
Τέλμο Θάρρα	Telmo Zarraonaindía
Αντρές Όπερ	Andres Oper
Άντζελο Σέκι	Angelo Secchi
Ιβάν Καβιέδες	Iván Kaviedes
Αρίων	Arion van Lesbos
Αθλητικός Όμιλος Αγία Νάπα	Ayia Napa FC
Φραάτης Δ΄ της Παρθίας	Phraates IV
Άτταλος Β΄ της Περγάμου	Attalus II van Pergamon
Μιθριδάτης Α΄ της Παρθίας	Mithridates I de Grote
Βολογήσης Α΄ της Παρθίας	Vologases I
Αλφόνς Μπορελλύ	Alphonse Louis Nicolas Borrelly
Φιλέταιρος της Περγάμου	Attalus Philetaerus
Βίκτορ Σκλόφσκι	Viktor Sjklovski
Τίντο Μπρας	Tinto Brass
Στρατόπεδο συγκέντρωσης Νόιενγκαμμε	Neuengamme
Κύπελλο Κυπελλούχων Ευρώπης ποδοσφαίρου 1980-81	Europacup II 1980/81
Αλέν Ρομπέρ	Alain Robert
Σχέδιο Μαδαγασκάρη	Madagaskarplan
Ιωάννης Μαλάλας	Johannes Malalas
Ουμίτ Νταβαλά	Ümit Davala
Ηρόφιλος	Herophilos van Chalcedon
Αϊστούλφος	Aistulf
Νίκος Λυμπερόπουλος	Nikos Lyberopoulos
Αφροδίτη του Χόλε Φελς	Venus van Hohle Fels
Ζαν-Λουί ντε Ραμπύρ	Jean-Louis de Rambures
Γερμανικό Μέτωπο Εργασίας	Deutsche Arbeitsfront
Αντρέ Μασόν	André Masson
Ίαν Κέρσοου	Ian Kershaw
Κώστας Μήτρογλου	Konstantinos Mitroglou
Μπαρίς Σερεμέτιεφ	Boris Sjeremetev
Γύγης	Gyges van Lydië
Soul Kitchen	Soul Kitchen
Dornier Do 228	Dornier Do 228
Μεγασθένης	Megasthenes
Τζεφ Μπέζος	Jeff Bezos
Ούντο Λίντενμπεργκ	Udo Lindenberg
Ροβέρτος Β΄ της Σκωτίας	Robert II van Schotland
Γουλιέλμος Α΄ της Σκωτίας	Willem I van Schotland
Θεόδατος	Theodahad
Ιλδίβαδος	Ildibad
Ουίτιγις	Witiges
Ν! Ξάου	N!Xau
Ριχάρδος Β΄ της Νορμανδίας	Richard II van Normandië
Ροθάριος	Rothari
Ράτχης	Ratchis
Στανίσλαβ Βισπιάνσκι	Stanisław Wyspiański
Κάρλο Λέβι	Carlo Levi
Ιπποκράτης ο Χίος	Hippocrates van Chios
Τεοντόρ ντε Μπανβίλ	Théodore de Banville
Αλεξάντερ Ροντσένκο	Aleksandr Rodtsjenko
Κούρτσιο Μαλαπάρτε	Curzio Malaparte
Έρικ Χόλντερ	Eric Holder
Ρούντι Φερνάντεθ	Rudy Fernández (basketballer)
Λον Τσάνεϊ	Lon Chaney sr.
Αύγουστος ντε Μαρμόν	Auguste de Marmont
Φίλιπ Μίλερ (βοτανική)	Philip Miller
Ευκλείδης ο Μεγαρεύς	Euclides van Megara
Τζων Χολμς	John Holmes (pornoster)
Νάβις	Nabis van Sparta
Ορθοκρεσόλη	Orthocresol
Ντάουντα Τζαγουάρα	Dawda Kairaba Jawara
Ελ Μαχάλα ελ Κούμπρα	El-Mahalla El-Kubra
Ώρος Κα	Hor Ka
Χουάν Νεγρίν	Juan Negrín
Βισέντε Γιάνιες Πινσόν	Vicente Yáñez Pinzón
Φρεντερίκο Σάβες Γκέντες	Frederico Chaves Guedes
Φράνσις Ομπικβέλου	Francis Obikwelu
Μπενεντέτο Μαρτσέλο	Benedetto Marcello
Αλμπέρ Πιντά	Albert Pintat
Δημήτριος Γ΄ Εύκαιρος	Demetrius III Eucaerus
Ψευδο-Διονύσιος ο Αρεοπαγίτης	Pseudo-Dionysius
Ευγένιος Αντωνιάδης	Eugène Michel Antoniadi
Όρος Σκοπός	Scopusberg
Μορίς	Morris (striptekenaar)
Πάουλο Μέντες ντα Ρότσα	Paulo Mendes da Rocha
Γιουσούφ Καρς	Yousuf Karsh
Αντίπαπας Φίλιππος	Tegenpaus Filippus
Άλβιν Κρενζλάιν	Alvin Kraenzlein
Ματίας Ζίντελαρ	Matthias Sindelar
Ρόμπερτ Μπάλαρντ	Robert Ballard
Αντίπαπας Διόσκουρος	Tegenpaus Dioscurus
Μπόι Τζορτζ	Boy George
Λούκας Ροντρίγκες Μόουρα Ντα Σίλβα	Lucas Moura
Νικολό Τζομμέλλι	Niccolò Jommelli
Ζερεμί Ματιέ	Jérémy Mathieu
Αρταφέρνης	Artaphernes (vader)
Φούλκων των Ιεροσολύμων	Fulco V van Anjou
Κάλικο Τζακ	Jack Rackham
Νόννος ο Πανοπολίτης	Nonnus van Panopolis
Στέλιος Μαλεζάς	Stelios Malezas
Γκεόργκι Μάρκοφ	Georgi Markov (schrijver)
Κοπάουε	Copahué
Αντίπαπας Βονιφάτιος Ζ΄	Bonifatius VII
Ρομάν Σαρόνοφ	Roman Sjaronov
Λούις Τίφανι	Louis Comfort Tiffany
Ζοζέφ Πιτόν ντε Τουρνεφόρ	Joseph Pitton de Tournefort
Νουρεντίν Ζενγκί	Nur ad-Din
Μισέλ-Ρισάρ Ντελαλάντ	Michel-Richard Delalande
Κιρίλλ Ναμπάμπκιν	Kirill Nababkin
Ευάγγελος Βενιζέλος	Evangelos Venizelos
Χάακον ΣΤ' της Νορβηγίας	Haakon VI van Noorwegen
Γουλιέλμος Α΄ της Νορμανδίας	Willem I van Normandië
Αριστοφάνης ο Βυζάντιος	Aristophanes van Byzantium
Ντάρκο Κοβάτσεβιτς	Darko Kovačević
Ηρωδιανός (ιστορικός)	Herodianus
Βίλεμ ντε Σίτερ	Willem de Sitter (wetenschapper)
Μπρένταν Μπήαν	Brendan Behan
Σελεστέν Φρενέ	Célestin Freinet
Τζόναθαν Έντουαρντς	Jonathan Edwards (theoloog)
Τζον Μπάνβιλ	John Banville
Τζακ Σουάγκερ	Jack Swagger
Τζέιμς Λάφερτι	James Lafferty
Πωλ Ρότζερς	Paul Rodgers
Νεκτανεβώ Β΄ της Αιγύπτου	Nectanebo II
Αντάντ Νιραρί Γ΄	Adad-nirari III
Κουίνσι Οβούσου-Αμπέγιε	Quincy Owusu-Abeyie
Κόλιν Καζίμ-Ρίτσαρντς	Colin Kâzım-Richards
Νικολά Ν'Κουλού	Nicolas N'Koulou
Γκιγιόμ Οαρό	Guillaume Hoarau
Φερδινάνδος Δ΄ μέγας δούκας της Τοσκάνης	Ferdinand IV van Toscane
Λεοπόλδος Β΄, Μέγας Δούκας της Τοσκάνης	Leopold II van Toscane
Πέτρος Άμπανο	Pietro d'Abano
Γιασμίνα Χάντρα	Yasmina Khadra
Κόνραντ Βιτς	Konrad Witz
Ρεντ Μπάτονς	Red Buttons
Αλμπέρτου Σάντους-Ντουμό	Alberto Santos-Dumont
Οχοζίας του Ισραήλ	Achazja van Israël
Οχοζίας του Ιούδα	Achazja van Juda
Ιωράμ (του Ιωσαφάτ)	Joram van Juda
Οζίας	Uzzia
Ιεροβοάμ Α΄	Jerobeam I
Αμρί	Omri
Βαασά	Basa
Ιηού	Jehu van Israël
Ιωσίας	Josia
Ιεροβοάμ Β΄	Jerobeam II
Αμέλ Μαρδούκ	Amel-marduk
Ιεβοσθέ	Isboset
Εδουάρδος του Ουεστμίνστερ	Eduard van Westminster
Τζον Ντιμάτζιο	John DiMaggio
Αλβάρο ντε Μεντάνια	Álvaro de Mendaña de Neira
Δημήτριος ο Φαληρεύς	Demetrius van Phalerum
Γρεναδιέρος	Grenadier
Σοϊτσίρο Χόντα	Soichiro Honda
Λαβαρνάς Α΄	Labarnas I
Τομ Τζόουνς (ταινία)	Tom Jones (film)
Σαλίφ Κεϊτά	Salif Keïta (zanger)
Αλεξέι Πέτροβιτς	Aleksej Petrovitsj van Rusland
Ζαν-Ανρί Φαμπρ	Jean-Henri Fabre
Συνθήκη του Προύθου	Vrede van de Proet
Φαχρί Κορουτούρκ	Fahri Korutürk
Dr. Alban	Dr. Alban
Εμμανυέλ Σαμπριέ	Emmanuel Chabrier
Κράσιμιρ Μπάλακοφ	Krasimir Balakov
Τζόνι Ρεπ	Johnny Rep
Μίκο Χίρβονεν	Mikko Hirvonen
Τζόνα Χιλ	Jonah Hill
Αυθάριος	Authari
Ευρωπαϊκή Οδός 55	Europese weg 55
Ασά	Asa van Juda
Βαρθολομαίος Ρόμπερτς	Bartholomew Roberts
Μάρκος Βαφειάδης	Markos Vafiadis
Όλαφ ο Αγαπητός	Olaf II van Zweden
Άλφρεντ Χάγιος	Alfréd Hajós
Κάρολος Ρώσσελ	Charles Taze Russell
Ιππίας ο τύραννος	Hippias (tiran)
Αντίπαπας Κωνσταντίνος Β΄	Tegenpaus Constantijn II
Θεοφύλακτος Σιμοκάττης	Theophylactus Simocatta
Πολ Ντι Άνο	Paul Di'Anno
Γεδεωνίτες	Gideons International
Μπέτζι Καΐντ Εσέμπσι	Beji Caid el Sebsi
Αλέξανδρος Τζιόλης	Alexandros Tziolis
Μπράιαν Ντένεχι	Brian Dennehy
Σαρλ Γκαρνιέ	Charles Garnier (architect)
Γκιούλα Αντράσυ	Gyula Andrássy
Αλεξάντερ Πέιν	Alexander Payne
Αγκίμ Τσέκου	Agim Çeku
Σον Άσμορ	Shawn Ashmore
Κερλόν Μούρα Σόουζα	Kerlon
Νικολάε Γιόργκα	Nicolae Iorga
Ορμίσδας Β΄ της Περσίας	Hormazd II
Τζον Γκαλιάνο	John Galliano
Βολογήσης της Περσίας	Valash
Αρδασίρ Γ΄ της Περσίας	Ardashir III
Βαράμης Δ΄ της Περσίας	Bahram IV
Ρον ΜακΓκόβνεϊ	Ron McGovney
Μπίλι Κράνταπ	Billy Crudup
Μααούγια Ουλντ Σιντ Αχμέντ Τάγια	Maaouya Ould Sid'Ahmed Taya
Φρανσουά Ζοζέφ Γκοσέκ	François-Joseph Gossec
Νιλ Πιρτ	Neil Peart
Τόμι Μπόλιν	Tommy Bolin
Ολεγκέρ Πρέσας Ρενόμ	Oleguer Presas Renom
Τζακ Μπρους	Jack Bruce
Τζακ Ντέμπσι	Jack Dempsey
Τζόζεφ Πάτρικ Κένεντι	Joseph P. Kennedy sr.
Ντάνιελ Πάουτερ	Daniel Powter
Μπιλ Γουόρντ	Bill Ward
Τόμι Ντρίμερ	Tommy Dreamer
Πιερ Λαρούς	Pierre Larousse
Τόμας Μπίτσαμ	Thomas Beecham
Τραϊανός Δέλλας	Traianos Dellas
Μάικλ Μπόσαμπ	Michael Beauchamp
Φειδιππίδης	Phidippides
Χουάν Αλμέιδα Βόσκε	Juan Almeida Bosque
Αρχίδαμος Β΄	Archidamus II van Sparta
Αντίοχος ΙΓ΄ Ασιατικός	Antiochus XIII Asiaticus
Λούκιος Καίσαρας	Lucius Iulius Caesar Vipsanianus
Φίλιπ Λάρκιν	Philip Larkin
Gleichschaltung	Gleichschaltung
Χόρχε Μπουρουτσάγα	Jorge Burruchaga
Κλαύδιος Αιλιανός	Claudius Aelianus
Νιθέτο Αλκαλά Θαμόρα	Niceto Alcala Zamora
Έφορος	Ephorus
Έντγουϊν Φλακ	Teddy Flack
Ιγιάντ Αλάουι	Iyad Allawi
Κώστας Φορτούνης	Kostas Fortounis
Μίλαν Γ΄ Ομπρένοβιτς	Milan IV Obrenović
Στέφανος Σταμπούλωφ	Stefan Nikolov Stambolov
Πάουλο Ενρίκε Γκάνσο	Paulo Henrique Chagas de Lima
Τζων Όσμπορν (θεατρικός συγγραφέας)	John Osborne
Νικόλα Πάσιτς	Nikola Pašić
Λάιονελ της Αμβέρσας	Lionel van Antwerpen
Δημήτριος Β΄ Αιτωλικός	Demetrios II van Macedonië
Χουάν, κόμης της Βαρκελώνης	Juan de Borbón (1913-1993)
Αντρέ Καμπρά	André Campra
Μεντουχοτέπ Δ΄	Mentoehotep IV
Αλέξανδρος Β΄ της Μακεδονίας	Alexander II van Macedonië
Περδίκκας Α΄ της Μακεδονίας	Perdiccas I van Macedonië
Αλκέτας Α΄ της Μακεδονίας	Alcetas I van Macedonië
Γεώργιος Ρουμπάνης	Georgios Roubanis
Αμύντας Γ΄ της Μακεδονίας	Amyntas III van Macedonië
Κάρανος	Caranus van Macedonië
Αμύντας Α΄ της Μακεδονίας	Amyntas I van Macedonië
Έμπε Σαντ	Ebbe Sand
Βολογήσης Ε΄ της Παρθίας	Vologases V
Ορόντης Β΄ της Παρθίας	Orodes II
Μπράιαν Λίτρελ	Brian Littrell
Χένρι Γκαντ	Henry Laurence Gantt
Ντάνι Πεδρόσα	Dani Pedrosa
Σαβέριο Μερκαντάντε	Saverio Mercadante
Φερνάντο Ταμπρόνι	Fernando Tambroni-Armaroli
Αντίπαπας Ιωάννης Η΄	Tegenpaus Johannes VIII
Όσκαρ Καρμόνα	António Óscar Carmona
