ทวีปแอฟริกา	Afrika
สันดอนจะงอย	Schoorwal
ออร์สัน สก็อต การ์ด	Orson Scott Card
จอร์จ เอเวอเรสต์	George Everest
อิซนิค	İznik (stad)
หวิงชุน	Wing Chun
พิกส์ (เศรษฐศาสตร์)	PIGS
พีต พอเซิลธ์เวต	Pete Postlethwaite
ยูเอสเอส จอร์จ วอชิงตัน (CVN-73)	USS George Washington (CVN-73)
อิสเมอิลีอา	Ismaïlia (stad)
เคนนี โรเจอส์	Kenny Rogers
เสาแบบคลาสสิก	Bouworde
เนียร์ชูเมกเกอร์	NEAR Shoemaker
ฟิงโกลฟิน	Fingolfin
ซอฟต์ร็อก	Softrock
ราชบัลลังก์คาสตีล	Kroon van Castilië
วิกฤติหนี้สาธารณะยุโรป	Europese staatsschuldencrisis
จักรวรรดิบราซิล	Keizerrijk Brazilië
โอตะ (โตเกียว)	Ota (Tokio)
แคปพาโดเชีย	Cappadocië
ซองส์อะเบาต์เจน	Songs About Jane
โจส สโตน	Joss Stone
เดวิด เลตเทอร์แมน	David Letterman
การระเบิดฆ่าตัวตาย	Zelfmoordaanslag
คาสิโอ	Casio
พีชคณิตซิกมา	Sigma-algebra
SD	SD
ฟลอเรนซ์แอนด์เดอะแมชชีน	Florence and the Machine
เอพริล 25 สปอร์ต คลับ	25 april Sports Club
ER	Er
อี ช็อล-ฮา	Lee Cheol-ha
วาลอน เบห์รามี	Valon Behrami
LA	LA
คู่ซ่า ป่าระเบิด 2	Open Season 2
ชาวโวลอฟ	Wolof (volk)
อนุสัญญากรุงเบิร์นว่าด้วยการคุ้มครองงานวรรณกรรมและศิลปกรรม	Berner Conventie (1886)
โลตัส	Lotus
ลัทธิโอมชินริเกียว	Aum Shinrikyo
จีเอ็ม	GM
การทำฝนเทียม	Regen maken
ลา โทยา แจ็กสัน	La Toya Jackson
AF	AF
อนุสัญญาเมตริก	Meterconventie
CV	CV
เดมะนิม	Inwonersnaam
มหาวิหารเวเซอแล	Basiliek Sainte-Marie-Madeleine van Vézelay
อันดับปลาคาราซิน	Karperzalmachtigen
แม่น้ำซาการ์ยา	Sakarya (rivier)
อาร์ตร็อก	Artrock
Tb	TB
วงศ์นกแต้วแร้ว	Pitta's
เซนต์จอห์น	Saint John
ตลาดหลักทรัพย์โตเกียว	Tokyo Stock Exchange
จอห์น บี. วัตสัน	John Broadus Watson
SAS	Sas
เดลตาเวิกส์	Deltawerken
ไอดีอี	IDE
KA	Ka
อ่าวชาร์ก	Shark Bay
DB	DB
เอ็นทีพี	Network Time Protocol
ไอริส เมอร์ด็อค	Iris Murdoch
IP	IP
ยะมะโตะ	Yamato
MP	MP
วลาดิมีร์ ไวส์ (นักฟุตบอลเกิดปี พ.ศ. 2532)	Vladimír Weiss (1989)
แอลฟา (แก้ความกำกวม)	Alpha
ดาวเคราะห์น้อยใกล้โลก	Aardscheerder
ตราแผ่นดินของสกอตแลนด์	Wapen van Schotland
หม้อข้าวหม้อแกงลิง	Nepenthes
โจ๊กเกอร์	Joker (Batman)
ลานีเฌเรียน	La Nigérienne
แว่นกันแดด	Zonnebril
เอ็กซ์เมน กำเนิดวูล์ฟเวอรีน	X-Men Origins: Wolverine
จอยซ์ แคโรล โอทส์	Joyce Carol Oates
อิเล็กโทร	Electro (muziekstijl)
คาร์ฟูร์	Carrefour (hypermarkt)
การวิเคราะห์	Analyse
กีบ (เล็บเท้าสัตว์)	Klauw
เดอะแกรดูเอท	The Graduate
ตึกวูลเวิร์ธ	Woolworth Building
การเล่นนอนคว่ำ	Planking
เวสป้า	Vespa (voertuig)
มังกรอเมริกัน: เจค ลอง	American Dragon: Jake Long
ฟีเนียสกับเฟิร์บ	Phineas en Ferb
อุบัติการณ์ (วิทยาการระบาด)	Incidentie
วงศ์สนฉัตร	Apenboomfamilie
ดีเจชาโดว์	DJ Shadow
จอห์นแฮนคอค์กเซนเตอร์	John Hancock Center
มหาวิทยาลัยเพอร์ดู	Purdue-universiteit
ซิมโฟนีหมายเลข 25 (โมซาร์ท)	Symfonie nr. 25 (Mozart)
อีเอสพีเอ็น	ESPN
คาโรล คิง	Carole King
ลอว์เรนซ์ เลสสิก	Lawrence Lessig
หมากรุกลูอิส	Lewis-schaakstukken
น่าซี	Naxi (volk)
สเตาท์	Stout (bier)
โอทิส เรดดิง	Otis Redding
OK	Oké
PH	Ph
PL	Pl
A3	A3
PE	PE
การยอมจำนน	Capitulatie
Syrphidae	Zweefvliegen (dieren)
ฮาร์ดคอร์	Hardcore
ซัลซา	Salsa
ทีเอ็นที (แก้ความกำกวม)	TNT
เดวิด คอปเปอร์ฟิลด์	David Copperfield
เอลเซท 129 ฮินเดนบูร์ก	LZ129 Hindenburg
ยาระบายอย่างอ่อน	Laxeermiddel
การบุกครองเกาะซิซิลีของฝ่ายสัมพันธมิตร	Landing op Sicilië
เมาตินี	Mawtini
พลับพลา	Exodus
ผลรวม	Sommatie
NP	NP
EA	Ea
ฟิล เนวิล	Phil Neville
จอช โกรแบน	Josh Groban
จีที	GT
ซีล (นักดนตรี)	Seal (zanger)
EE	Ee
PPP	PPP
ลั่นทม	Plumeria
ปลาพาราไดซ์ (สกุล)	Macropodus
ฆาตกรจักรราศี	Zodiac Killer
BB	BB
EN	En
น้ำมนต์	Wijwater
ไนกี้	Nike
ชาร์ลี กับ โรงงานช็อกโกแลต	Charlie and the Chocolate Factory (film)
อีเล็กทริกไลท์ออร์เคสตรา	Electric Light Orchestra
โฟกัส (แก้ความกำกวม)	Focus
ตึก 40 วอลล์ สตรีท	40 Wall Street
ผลรวมตรวจสอบ	Controlecijfer
สเวน-เยอราน เอริกซอน	Sven-Göran Eriksson
โรเบร์โต ซอลดาโด	Roberto Soldado
ขบวนการ 26 กรกฎาคม	Beweging van de 26ste juli
วิล เฟอร์เรล	Will Ferrell
มหาวิทยาลัยลุนด์	Universiteit van Lund
บลีช (อัลบั้ม)	Bleach (album)
สปายสาวคูณสาม	Totally Spies
แมกกี เกรซ	Maggie Grace
ฟีฟ่าบาลงดอร์ 2012	FIFA Ballon d'Or 2012
เวลส์พรีเมียร์ลีก	Welsh Premier League
ริเวนเดลล์	Imladris
ลอว์แอนด์ออร์เดอร์ : หน่วยสืบสวนคดีผู้ร้ายมีจุดประสงค์พิเศษ	Law & Order: Special Victims Unit
เปอร์ซิวัล โลเวลล์	Percival Lowell
ไดอานา (แก้ความกำกวม)	Diana
นิ้ว (หน่วยความยาวไทย)	Inch
ความรับผิดชอบทางสังคมเชิงบรรษัท	Maatschappelijk verantwoord ondernemen
ซอฟต์แวร์กรรมสิทธิ์	Propriëtaire software
สมเด็จพระเจ้าอันเดรียนนามโบอินีเมรีนาแห่งมาดากัสการ์	Andrianampoinimerina
สมเด็จพระเจ้าราดามาที่ 2 แห่งมาดากัสการ์	Radama II van Madagaskar
ไมเคิล เดลล์	Michael Dell
บี-1 แลนเซอร์	B-1 Lancer
เอทีอาร์ 42	ATR 42
อะลานีน	Alanine
ไอเฟล	Eiffel
ไลเบรชัน	Libratie
การทัพแอฟริกาเหนือ	Noord-Afrikaanse veldtocht
เจอโรม เค. เจอโรม	Jerome K. Jerome
SL	SL
กลุ่มอาการโซลลิงเจอร์-เอลลิสัน	Syndroom van Zollinger-Ellison
เจย์ เลโน	Jay Leno
ไชร์ (มิดเดิลเอิร์ธ)	Gouw (Midden-aarde)
ตุลาคม พ.ศ. 2555	Oktober 2012
เอดจ์	Edge
เมดิเตอร์เรเนียนเกมส์ 1959	Middellandse Zeespelen 1959
SK	SK
เมดิเตอร์เรเนียนเกมส์ 1963	Middellandse Zeespelen 1963
พฤศจิกายน พ.ศ. 2555	November 2012
วินเชสเตอร์ (แก้ความกำกวม)	Winchester (doorverwijspagina)
ซาวลา	Saola
เดอแรม (แก้ความกำกวม)	Durham
เดรก	Drake
เดอะซูพรีมส์	The Supremes
เมน	Maine (doorverwijspagina)
ลักอ็องเซียล	L'Arc-en-Ciel
พรีไบโอติกส์	Prebiotica
บีที	BT
อุระวะ เรด ไดมอนด์ส	Urawa Red Diamonds
ปลาหมอตาล	Zoenvis
คิวโพลาสามเหลี่ยมอีลองเกต	Verlengde driehoekige koepel
เดลฟี (แก้ความกำกวม)	Delphi
Anastasia (แก้ความกำกวม)	Anastasia
อะโดบี อินดีไซน์	Adobe InDesign
เอ็ม 2 บราวนิง	Browning M2
รูบี	Ruby
ปัญหาปี ค.ศ. 2000	Millenniumbug
เจ้าชายแคสเปียน	De Kronieken van Narnia: Prins Caspian (boek)
ไรนิฮาโร	Rainiharo
พระราหุล	Rahula
พระวรสารลอร์ช	Evangeliarium van Lorsch
STP	STP
อันเดรว ฟุนตัส	Andreu Fontàs
เนลลี	Nelly (rapper)
เฮาส์	House
นักบุญผู้ช่วยศักดิ์สิทธิ์สิบสี่องค์	Noodhelpers
พาลลัส	Pallas
โจ เบนเนตต์ (นักฟุตบอล)	Joe Bennett (voetballer)
กรีฑาสถานแห่งชาติ	Suphachalasaistadion
น้ำส้ม	Sinaasappelsap
รัฐปาเลสไตน์	Palestina (staat)
การออกกำลังกาย	Fitness
ตารางค่าความจริง	Waarheidstabel
เอวี	AV
กลุ่มอาการคุชชิง	Syndroom van Cushing
LV	LV
สัญกรณ์วิทยาศาสตร์	Wetenschappelijke notatie
เอดิสัน	Edison
คนพิฆาตผี	Constantine (film)
เอริก ลีไฮ	Eric Lichaj
แบรด กูซาน	Brad Guzan
ทาเกอร์ เคบูเลฟ	Tagir Chajboelajev
ชาวม้ง	Hmong
แคม	CAM
ความคลั่งทิวลิป	Tulpenmanie
GO	Go
ภาวะไม่ทนต่อแล็กโทส	Lactose-intolerantie
เหตุการณ์สะพานมาร์โค โปโล	Marco Polobrugincident
ริก แอสต์ลีย์	Rick Astley
CP	CP
มาร์ก โอเฟอร์มาร์ส	Marc Overmars
SG	SG
MA	MA
กูเทนเบิร์ก	Gutenberg
มอนสเตอร์	Monster
ฟิวชัน	Fusion
เมายกแก๊ง แฮงค์ยกก๊วน	The Hangover
MU	Mu
อินพุต/เอาต์พุต	I/O
เต่าทะเล	Chelonioidea
กิลด์วอร์ส	Guild Wars
KM	Km
โรซาลีนน์ คาร์เตอร์	Rosalynn Carter
เอียน รัช	Ian Rush
เหตุการณ์ยูเอฟโอตกที่รอสเวลล์	Roswellincident
ปอร์เช่ 911	Porsche 911
เอลิซาเบท แบงส์	Elizabeth Banks
รถไฟใต้ดินดนีโปรเปตรอฟสค์	Metro van Dnjepropetrovsk
จัมเปาโล ปัซซีนี	Giampaolo Pazzini
ฮิสเปเนียเบทิกา	Hispania Baetica
จิตรกรรมฝาผนัง	Muurschildering
พิธีสารมอนทรีออล	Montrealprotocol
ก้าวสู่ฝันวันหัวใจพบรัก	A Walk to Remember
ร่างพระราชบัญญัติว่าด้วยสิทธิพื้นฐานของพลเมือง ค.ศ. 1689	Bill of Rights van 1689
แซมไวส์ แกมจี	Sam Gewissies
มิชชันนารี	Missionaris
วานรวิทยา	Primatologie
เปเรกริน ตุ๊ก	Peregrijn Toek
เมอเรียด็อค แบรนดี้บั๊ก	Meriadoc Brandebok
ซ้าบ	Saab
โบโรเมียร์	Boromir
เจสซี ไอเซนเบิร์ก	Jesse Eisenberg
วอลเตอร์ เบรนแนน	Walter Brennan
ซีพี/เอ็ม	CP/M
ค่าต่างแสง	Clair-obscur (schilderkunst)
หอสมุดประชาชนนิวยอร์ก	New York Public Library
หนังคัลท์	Cultfilm
เอดชิ	Ecchi
มหาวิทยาลัยวอชิงตัน	Universiteit van Washington
สถาบันแคโรลินสกา	Karolinska-instituut
ม้าลายเกรวี	Grévyzebra
ไฮโดรโฟบิก	Hydrofoob
บริษัทโฮลดิ้ง	Holding
แอลฌาดีดา	El Jadida
เอลีก	A-League (Australië)
เกาะอัมบน	Ambon (eiland)
ราชันย์แห่งภูต	Shaman King
มหาวิทยาลัยบาร์เซโลนา	Universiteit van Barcelona
มอร์กัน เด ซันติส	Morgan De Sanctis
เทคเคน	Tekken
เอฟิดรีน	Efedrine
เอเอช-1 คอบรา	AH-1 Cobra
อดัม เลวีน	Adam Levine
โจชัว แจ็กสัน	Joshua Jackson
ฟรังก์ เดอ บูร์	Frank de Boer
สีกรมท่า	Ultramarijn
โนเกีย 3310	Nokia 3310
คณะมนตรีภาวะทรัสตีแห่งสหประชาชาติ	Trustschapsraad
มหาวิทยาลัยกอมปลูเตนเซแห่งมาดริด	Complutense Universiteit van Madrid
อุปกรณ์เก็บเสียงปืน	Knaldemper (wapen)
แม่เหล็กขั้วเดียว	Magnetische monopool
วินโดวส์แอโร	Windows Aero
กองทัพเรือจักรวรรดิญี่ปุ่น	Japanse Keizerlijke Marine
ธงประจำรัฐฮาวาย	Vlag van Hawaï
เอ็นเอ็นทีพี	Network News Transfer Protocol
เอทีอาร์ 72	ATR 72
มาอามาดู ดียารา	Mahamadou Diarra
ดัสตี สปริงฟิลด์	Dusty Springfield
นีดฟอร์สปีด: คาร์บอน	Need for Speed: Carbon
พระเจ้าสกอร์เปียน	Schorpioen II (koning)
สภากงว็องซียงแห่งชาติ	Nationale Conventie (Frankrijk)
สถานีรถไฟลอนดอนคิงส์ครอส	Station London King's Cross
วิลเลจพีเพิล	Village People
ปีแยร์ บูล	Pierre Boulle
สมบูรณาญาสิทธิราชย์อันทรงภูมิธรรม	Verlicht despotisme
บอนนีและไคลด์	Bonnie en Clyde
เดอะทิงทิงส์	The Ting Tings
ซอนนี่ จิ๊จ๊ะจะเป็นดาว	So Random!
รุมิโกะ ทะกะฮะชิ	Rumiko Takahashi
โชเน็งจัมป์รายสัปดาห์	Weekly Shonen Jump
วงศ์กระดังงา	Annonaceae
สวนสัตว์ปักกิ่ง	Dierentuin van Peking
ขุนศึก	Krijgsheer
ซูไทคูน	Zoo Tycoon
ซูไทคูน 2	Zoo Tycoon 2
โรฮัน	Rohan (Midden-aarde)
เพื่อนเจ้าสาว 27 วิวาห์ เมื่อไหร่จะได้เป็นเจ้าสาว?	27 Dresses
ระเบียบวิธีไฟไนต์เอลิเมนต์	Eindige-elementenmethode
ระบบเกษตรกรรมพืชเดี่ยว	Monocultuur
อับดุล เราะหฺมาน อัล ฆอฟิกี	Abdul Rahman Al Ghafiqi
หมอนรองรางรถไฟ	Dwarsligger (spoor)
ฟีฟ่าคอนเฟเดอเรชันส์คัพ 2013	FIFA Confederations Cup 2013
เรือหลวงฮูด (51)	HMS Hood
หมาไม้	Maleise bonte marter
เรซิเดนต์อีวิล	Resident Evil (computerspelserie)
สมเสร็จอเมริกาใต้	Laaglandtapir
การโยนออกนอกหน้าต่าง	Defenestratie
อารามกลูว์นี	Abdij van Cluny
แผ่นอเมริกาเหนือ	Noord-Amerikaanse Plaat
เซธ โรเกน	Seth Rogen
แมกซิส	Maxis (computerspelbedrijf)
ภาวะเสียการระลึกรู้	Agnosie
สรุปเหรียญโอลิมปิกฤดูหนาว 2010	Medaillespiegel van de Olympische Winterspelen 2010
แฮนค็อค ฮีโร่ขวางนรก	Hancock (film)
วัฏจักรคัลวิน	Calvincyclus
เดอะ เบิร์ธ ออฟ อะ เนชั่น	The Birth of a Nation
ซารอส	Saros-cyclus
คางคกซูรินาม	Pipa (kikker)
ปลาปักเป้าอ้วน	Arothron
กูชิง	Kuching
เพรียง	Rankpootkreeften
ชื่อบุคคลไอซ์แลนด์	IJslandse namen
งูเห่า	Echte cobra's
คุณภาพของการให้บริการ	Quality of service
เทศกาลภาพยนตร์	Filmfestival
ยิ้มไว้ก่อนพ่อสอนไว้	The Pursuit of Happyness
กัล เพนน์	Kal Penn
แถวคอย	Queue (informatica)
บร็อก เลสเนอร์	Brock Lesnar
สิ่งหลุดอุดหลอดเลือดของปอด	Longembolie
กูเกิล แอนะลิติกส์	Google Analytics
นกกระสาหัวดำ	Zwartkopreiger
ลูกัส เลย์วา	Lucas Leiva
ไซโตซอล	Cytosol
ปรากฏการณ์ไมสเนอร์	Meissner-effect
Service-oriented architecture	Service-oriëntatie
กีฬามวยปล้ำในโอลิมปิกฤดูร้อน 2008	Worstelen op de Olympische Zomerspelen 2008
ระบบจราจรซ้ายมือและขวามือ	Links rijden
โบราณวัตถุ	Artefact (archeologie)
สเปซอินเวเดอร์ส	Space Invaders
XMLHttpRequest	XMLHTTP
นโยบายเกษตรร่วม	Gemeenschappelijk landbouwbeleid
การขายส่ง	Groothandel
โอมาร์ ซีโบรี	Omar Sívori
ชาร์ล เรนนี แม็กอินทอช	Charles Rennie Mackintosh
ตึกแฟลตไอออน	Flatiron Building
เดอะคิลเลอส์	The Killers (band)
ไบรอัน ซิงเกอร์	Bryan Singer
เอจออฟเอ็มไพร์ส (วีดีโอเกม)	Age of Empires (computerspel)
ซีโฟร์	C-4 (explosief)
ประเทศโปแลนด์ในโอลิมปิกฤดูร้อน 2004	Polen op de Olympische Zomerspelen 2004
อาการกลัวแมงมุม	Arachnofobie
ฟลอยด์ แลนดิส	Floyd Landis
เส้นทางสายเปอร์เซีย	Perzische Koninklijke Weg
พ.ศ. 23	521 v.Chr.
การเรียงลำดับแบบเลือก	Selection sort
มาร์เกอริตแห่งวาลัว สมเด็จพระราชินีแห่งฝรั่งเศส	Margaretha van Valois (1553-1615)
วงศ์ย่อยลิงโลกเก่า	Meerkatachtigen
ภาพเหมือนอาร์นอลฟีนี	Portret van Giovanni Arnolfini en zijn vrouw
เอสซีเอสไอ	SCSI
พอล แอนเดอร์สัน	Poul Anderson
กีฬาว่ายน้ำในโอลิมปิกฤดูร้อน 2004	Zwemmen op de Olympische Zomerspelen 2004
โอวีเอ	Original Video Animation
พ.ศ. 6	538 v.Chr.
เอมิลิโอ เอสเตเวซ	Emilio Estevez
กีฬามวยสากลสมัครเล่นในโอลิมปิกฤดูร้อน 2008	Boksen op de Olympische Zomerspelen 2008
เดโม	Demo (muziek)
เรเชล บิลสัน	Rachel Bilson
กระดังงา	Cananga odorata
สีหนุวิลล์	Sihanoukville
คณะคาร์ทูเซียน	Kartuizers
ตริสตันดากูนยา	Tristan da Cunha
สงครามฝิ่น	Opiumoorlogen
คิริชา ปรสาท โกอิราลา	Girija Prasad Koirala
โรเบิร์ตที่ 2 ดยุคแห่งนอร์มังดี	Robert Curthose
ฌัก อ็องก์ตีล	Jacques Anquetil
วอลเลย์บอลชายชิงแชมป์ยุโรป 2007	Europees kampioenschap volleybal mannen 2007
แจ็กโอแลนเทิร์น	Jack-o'-lantern
ตราแผ่นดินของออสเตรเลีย	Wapen van Australië
ชินเซ็งงุมิ	Shinsengumi
ปลาตะกรับ	Argusvis
ซีโมเน มาร์ตีนี	Simone Martini
วาฬบรูด้า	Brydevinvis
โลแกน เลอร์แมน	Logan Lerman
28 วันให้หลัง เชื้อเขมือบคน	28 Days Later...
เต่าคองู	Langnekslangenhalsschildpad
พลิกวิกฤต ขีดชะตาโลก	Children of Men
สิงโตบาร์บารี	Berberleeuw
มหันตภัยเชื้อนรกถล่มเมือง	28 Weeks Later...
เปลี่ยนตาย ไม่ให้ตาย	The Butterfly Effect (film)
จักรกลอัจฉริยะ	A.I.: Artificial Intelligence
สนามกีฬาโอลิมปิกอตาเติร์ก	Atatürk Olympisch Stadion
สมเด็จพระราชินีนาถมารีอาที่ 2 แห่งโปรตุเกส	Maria II van Portugal
ที-เพน	T-Pain
กาอาระ	Gaara
ราตรีที่สิบสอง	Twelfth Night
จูเซปเป รอสซี	Giuseppe Rossi
แดร์รอน กิบสัน	Darron Gibson
นีคีกา เจราวิช	Nikica Jelavić
สิงโตแหลมกู๊ดโฮป	Kaapse leeuw
ทู้ทซี่	Tootsie
เองเกลเบิร์ต ฮัมเพอร์ดิงค์ (นักร้อง)	Engelbert Humperdinck (zanger)
อังกุน	Anggun
ความเร็วเหนือเสียง	Supersonische snelheid
แฮร์รี เรดแนปป์	Harry Redknapp
อาระเบียเพเทรีย	Arabia Petraea
ริชาร์ดแห่งชรูว์สบรี ดยุกที่ 1 แห่งยอร์ก	Richard van Shrewsbury
ดิจิทัล เลดี้	Chobits
หินน้ำมัน	Olieschalie
ลาป่าทิเบต	Kiang
ความพยายามรัฐประหารในสหภาพโซเวียต พ.ศ. 2534	Augustusstaatsgreep in Moskou
สรรพัชฌัตเทวนิยม	Panentheïsme
เอกภพที่สังเกตได้	Waarneembaar heelal
แมคดอนเนลล์ ดักลาส ดีซี-9	Douglas DC-9
ลิ้น (เครื่องดนตรี)	Doorslaande tong
งานประกาศผลรางวัลออสการ์ ครั้งที่ 42	42ste Oscaruitreiking
ไมค์ พอร์ตนอย	Mike Portnoy
กลุ่มอาการโครโมโซมเอกซ์เปราะบาง	Fragiele-X-syndroom
เดอะ ทิน เรด ไลน์ ฝ่านรกยึดเส้นตาย	The Thin Red Line
แซ็ง-เรมี-เดอ-พรอว็องส์	Saint-Rémy-de-Provence
เต่าร้างแดง	Zachte vinnetjespalm
เจ้าชายนโปเลียน	Napoleon Eugène Lodewijk Bonaparte
แอมบิแกรม	Ambigram
ปลาตาเหลือก	Indopacifische tarpoen
ออลกา คอร์บุต	Olga Korboet
ชีน	Sjin (Arabische letter)
เพียงเธอ..รักนี้ดีสุดแล้ว	As Good as It Gets
ทฤษฎีโดมิโน	Dominotheorie
สกั๊ด	Scud
โจนาทาน เอดเวิดส์ (นักกีฬา)	Jonathan Edwards (atleet)
การติดเชื้อในระบบทางเดินปัสสาวะ	Urineweginfectie
ผจญภัยครอบครัวจอมเพี้ยน ฝ่าโลกอนาคต	Meet the Robinsons
รัฐบัญญัติความรักปิตุภูมิ	USA PATRIOT Act
ประเทศโมร็อกโกในโอลิมปิกฤดูหนาว 1988	Marokko op de Olympische Winterspelen 1988
วัดคิโยะมิซุ	Kiyomizu-dera
สังคายนาลาเตรันครั้งที่หนึ่ง	Eerste Lateraans Concilie
ราซ็อน	Rasŏn
เอซิดแจ๊ส	Acid jazz
ซาดี	Sad (Arabische letter)
แฟลช (อุปกรณ์ถ่ายภาพ)	Flitser
ฎ๊อด	Dad (Arabische letter)
ยันนิก โนอาห์	Yannick Noah
สงครามสี่สัมพันธมิตร	Oorlog van de Quadruple Alliantie
เมาคลีลูกหมาป่า 2	Jungle Boek 2
แคทลีน เทอร์เนอร์	Kathleen Turner
ยุทธการที่บอสเวิร์ธฟิลด์	Slag bij Bosworth
อภินิหารตำนานแห่งนาร์เนีย ตอน เจ้าชายแคสเปี้ยน	De Kronieken van Narnia: Prins Caspian (film)
เชมัส	Sheamus
จีโนมิกส์	Genomica
เซ็นเตอร์ (บาสเกตบอล)	Center (basketbal)
ซออ์	Dza (Arabische letter)
Material safety data sheet	Veiligheidsinformatieblad
แม่น้ำซุมิดะ	Sumida (rivier)
ชูเอา โมตินยู	João Moutinho
อายิน	Ain (Arabische letter)
แดเนียล สเตอร์ริดจ์	Daniel Sturridge
กฎหมายแพ่ง	Burgerlijk recht
สาธารณรัฐเช็กในโอลิมปิกฤดูหนาว 1994	Tsjechië op de Olympische Winterspelen 1994
เดอบูกงกอแล	Debout Congolais
รายชื่อแหล่งมรดกโลกที่กำลังตกอยู่ในภาวะอันตราย	Lijst van bedreigd werelderfgoed
งานประกาศผลรางวัลออสการ์ ครั้งที่ 65	65ste Oscaruitreiking
สมเด็จพระสันตะปาปาสตีเฟนที่ 8	Paus Stefanus VIII (IX)
ปากแหว่งเพดานโหว่	Schisis
อะซาโมอาห์ จยาน	Asamoah Gyan
ทูพีเอ็ม	2PM
ฆอยน์	Gain (Arabische letter)
กวนอู	Guan Yu
เบนิกโน อากีโน จูเนียร์	Benigno Aquino jr.
ดาเนียล คาร์เก	Daniel Jarque
เพ (ตัวอักษร)	Fa (Arabische letter)
เร็วคูณ 2 ดับเบิ้ลแรงท้านรก	2 Fast 2 Furious
สเปเชียลแอร์เซอร์วิส	Special Air Service
ทูอันลิมิตเต็ด	2 Unlimited
ทูแชนแนล	2channel
อัลบั้มรวมเพลง	Verzamelalbum
ตีโต บีลานอบา	Tito Vilanova
จูแมนจี้ เกมดูดโลกมหัศจรรย์	Jumanji (film)
ปาทริก มอดียาโน	Patrick Modiano
สกุลไก่ป่า	Gallus (geslacht)
วงจรซีเอ็นโอ	Koolstof-stikstofcyclus
คอฟ	Qaf (Arabische letter)
แมคโอเอสเท็น ลีโอพาร์ด	Mac OS X 10.5
หอสมุดนักฮัมมาดี	Nag Hammadigeschriften
เต่า	Schildpadden
ซิสตาร์	Sistar
ความไร้สัญชาติ	Staatloosheid
องศาโรเมอร์	Réaumur
ห่วงโซ่ปฏิกิริยาโปรตอน-โปรตอน	Proton-protoncyclus
เยื่อบุช่องท้องอักเสบ	Buikvliesontsteking
สแตนลีย์ ทุชชี	Stanley Tucci
แรงพยาบาท	Een studie in rood
คิลบิล	Kill Bill
เกล็ดหิมะค็อค	Koch-kromme
อาร์ม็อง ทราออเร	Armand Traoré
แกรนูโลไซต์	Granulocyt
เอเฟ็กซ์ ทวิน	Aphex Twin
จักรพรรดิกลายพันธุ์ อัศจรรย์พันธุ์ต๊อง	Keizer Kuzco
สมเด็จพระเจ้าปีเตอร์ที่ 2 แห่งยูโกสลาเวีย	Peter II van Joegoslavië
เอ็ม3 ลี	M3 Grant
เอเดรียแอร์เวย์	Adria Airways
GNU Privacy Guard	GNU Privacy Guard
หอไข่มุกตะวันออก	Oriental Pearl Tower
หน้าบัน	Timpaan
โดนี	Donieber Alexander Marangon
บิลลี ไรต์ (นักฟุตบอลเกิดปี พ.ศ. 2467)	Billy Wright
เซเปแคท จากัวร์	Sepecat Jaguar
กางเกงขาสั้น	Hotpants
ลอรา ลินนีย์	Laura Linney
ภัยพิบัติท่าอากาศยานเตเนรีเฟ	Vliegtuigramp van Tenerife
ผู้ช่วยผู้ตัดสิน (ฟุตบอล)	Assistent-scheidsrechter
อินเรนโบว์ส	In Rainbows
บริตอะวอดส์	Brit Awards
ดักลาส ดีซี-8	Douglas DC-8
นางมารสวมปราด้า	The Devil Wears Prada
เอฟ/เอ-18อี/เอฟ ซูเปอร์ฮอร์เน็ท	F/A-18E/F Super Hornet
ค่าเฉลี่ยกำลังสอง	Kwadratisch gemiddelde
แรงไทดัล	Getijdenveld
ริโอ เดอะมูฟวี่ เจ้านกฟ้าจอมมึน	Rio (2011)
ฟุตบอลชิงแชมป์สโมสรโลก	Wereldkampioenschap voetbal voor clubs
อี-2 ฮ็อคอาย	E-2 Hawkeye
ไฟนอลแฟนตาซี X	Final Fantasy X
ทุพภิกขภัยในจะงอยแอฟริกา พ.ศ. 2554	Hongersnood in de Hoorn van Afrika 2011
ประเภทวรรณคดี	Literair genre
Vickers hardness	Vickershardheid
มหาวิทยาลัยเบอร์มิงแฮม	Universiteit van Birmingham
ประเทศสวีเดนในโอลิมปิกฤดูหนาว 1998	Zweden op de Olympische Winterspelen 1998
คุเระ	Kure
จอช แรดเนอร์	Josh Radnor
ฟาราเมียร์	Faramir (mens)
เดอะคาร์เพนเทอส์	The Carpenters
ท่าอากาศยานสตอกโฮล์ม-อาร์ลันดา	Luchthaven Stockholm-Arlanda
แคนซัสซิตี ชีฟส์	Kansas City Chiefs
มาทรอสกา	Matroska
จอมโจรกู้แผ่นดินเดือด	Robin Hood (2010)
กูเกิล ปฏิทิน	Google Agenda
รายชื่อเมืองในประเทศแองโกลา	Lijst van steden in Angola
อุทยานแห่งชาติวิรุงกา	Nationaal park Virunga
โรคกรดไหลย้อน	Gastro-oesofageale reflux
เอ็กซ์เมน รุ่น 1	X-Men: First Class
ท้าวกุเวร	Kubera
การห้ามออกจากเคหสถานเวลาค่ำคืน	Spertijd
ต้นไม้ (โครงสร้างข้อมูล)	Boom (datastructuur)
คณะซาเลเซียนของคุณพ่อบอสโก	Salesianen van Don Bosco
126	126 (getal)
หน่วยฐานเอสไอ	SI-basiseenheid
นครธม	Angkor Thom
